Consumer Price Index for All Urban Consumers (CPI-U),,,,,,,,,,,,
1-Month Percent Change,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,CUSR0000SA0,,,,,,,,,,,
Seasonally Adjusted,,,,,,,,,,,,
Series Title:,"All items in U.S. city average, all urban consumers, seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,All items,,,,,,,,,,,
Base Period:,1982-84=100,,,,,,,,,,,
Years:,1947 to 2026,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1947,,0.7,1.8,0.0,-0.2,0.6,0.7,0.8,2.0,0.3,0.7,1.5
1948,1.2,0.0,-0.7,1.4,0.8,0.6,1.0,0.1,-0.3,-0.2,-0.6,-0.5
1949,-0.2,-0.4,0.0,0.0,0.0,0.0,-0.9,0.0,0.2,-0.3,0.1,-0.4
1950,-0.4,0.4,0.1,0.0,0.5,0.5,0.8,0.5,0.6,0.7,0.4,1.5
1951,1.6,1.8,0.2,0.2,0.3,-0.2,-0.1,-0.2,0.7,0.5,0.6,0.6
1952,-0.1,-0.2,-0.1,0.3,0.0,0.2,0.6,0.0,-0.2,0.2,0.0,0.1
1953,-0.3,-0.2,0.2,0.2,0.0,0.3,0.1,0.2,0.1,0.2,-0.4,0.1
1954,0.3,0.2,-0.2,-0.3,0.3,0.0,-0.3,0.0,-0.1,-0.3,0.2,0.0
1955,0.0,0.2,-0.1,0.0,-0.1,-0.2,0.2,-0.1,0.5,-0.1,0.2,0.0
1956,-0.1,0.1,0.1,0.1,0.4,0.4,0.5,0.1,0.1,0.6,0.0,0.4
1957,0.1,0.5,0.2,0.3,0.3,0.4,0.3,0.3,0.1,0.0,0.3,0.2
1958,0.6,0.2,0.6,0.2,0.0,-0.1,-0.1,0.2,-0.1,0.0,0.1,0.1
1959,0.1,0.0,-0.1,0.0,0.2,0.2,0.1,0.1,0.2,0.3,0.0,0.2
1960,-0.1,0.1,0.0,0.4,0.1,0.1,-0.2,0.2,0.0,0.5,0.1,0.1
1961,0.1,0.0,0.0,-0.1,0.1,0.0,0.3,0.1,0.1,0.0,0.0,0.1
1962,0.1,0.2,0.2,0.1,0.1,-0.1,0.0,0.2,0.5,-0.1,0.0,0.0
1963,0.2,0.1,0.1,-0.1,0.1,0.3,0.3,0.2,-0.1,0.1,0.1,0.3
1964,0.2,-0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.3,0.1
1965,0.1,0.0,0.1,0.2,0.3,0.4,-0.1,-0.1,0.2,0.1,0.3,0.3
1966,0.1,0.6,0.3,0.3,0.2,0.1,0.2,0.6,0.3,0.3,0.1,0.1
1967,-0.1,0.3,0.0,0.3,0.0,0.6,0.3,0.3,0.3,0.3,0.6,0.3
1968,0.3,0.3,0.3,0.3,0.3,0.6,0.6,0.3,0.3,0.6,0.3,0.6
1969,0.3,0.3,0.8,0.6,0.3,0.5,0.5,0.3,0.5,0.5,0.5,0.5
1970,0.5,0.5,0.5,0.5,0.3,0.5,0.3,0.3,0.5,0.5,0.5,0.5
1971,0.3,0.0,0.3,0.3,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2
1972,0.2,0.5,0.0,0.2,0.2,0.2,0.2,0.2,0.5,0.2,0.5,0.2
1973,0.5,0.7,0.9,0.7,0.5,0.7,0.0,1.8,0.4,0.9,0.7,0.9
1974,1.1,1.1,1.1,0.6,1.0,0.8,0.6,1.2,1.4,0.8,1.0,0.8
1975,0.8,0.6,0.4,0.4,0.2,0.8,0.9,0.4,0.7,0.5,0.7,0.5
1976,0.4,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5
1977,0.5,1.0,0.5,0.7,0.3,0.5,0.5,0.5,0.3,0.5,0.6,0.5
1978,0.6,0.5,0.6,0.8,0.9,0.8,0.8,0.6,0.9,0.9,0.6,0.6
1979,0.9,1.0,1.0,1.0,1.1,1.1,1.1,1.0,0.9,1.1,1.1,1.2
1980,1.4,1.3,1.4,1.0,1.0,1.0,0.1,0.7,0.8,1.0,1.1,0.9
1981,0.9,0.9,0.7,0.6,0.7,0.9,1.1,0.8,1.0,0.3,0.4,0.3
1982,0.3,0.3,0.0,0.3,0.9,1.1,0.5,0.2,0.0,0.4,-0.1,-0.3
1983,0.2,0.1,0.1,0.7,0.4,0.2,0.4,0.3,0.3,0.4,0.3,0.3
1984,0.7,0.5,0.3,0.4,0.2,0.2,0.4,0.3,0.3,0.4,0.2,0.2
1985,0.2,0.6,0.5,0.2,0.2,0.3,0.2,0.2,0.2,0.4,0.5,0.5
1986,0.4,-0.2,-0.5,-0.4,0.3,0.4,0.1,0.1,0.4,0.2,0.2,0.4
1987,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.2
1988,0.3,0.2,0.3,0.6,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3
1989,0.4,0.3,0.5,0.7,0.5,0.3,0.3,0.0,0.2,0.5,0.4,0.3
1990,1.0,0.4,0.5,0.2,0.2,0.6,0.5,0.8,0.7,0.7,0.2,0.4
1991,0.4,0.1,0.0,0.2,0.4,0.3,0.1,0.3,0.3,0.1,0.4,0.3
1992,0.1,0.2,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.4,0.3,0.1
1993,0.4,0.2,0.1,0.3,0.3,0.1,0.1,0.2,0.1,0.4,0.3,0.2
1994,0.0,0.3,0.3,0.1,0.2,0.3,0.3,0.4,0.2,0.1,0.3,0.2
1995,0.3,0.3,0.2,0.4,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.1
1996,0.5,0.2,0.3,0.4,0.2,0.2,0.2,0.1,0.3,0.3,0.3,0.3
1997,0.2,0.2,0.1,0.1,0.0,0.2,0.1,0.2,0.2,0.2,0.1,0.1
1998,0.1,0.0,0.0,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2
1999,0.2,0.0,0.1,0.7,0.1,0.0,0.4,0.2,0.4,0.2,0.2,0.2
2000,0.3,0.4,0.6,-0.1,0.2,0.6,0.3,0.0,0.5,0.2,0.2,0.2
2001,0.6,0.2,0.1,0.2,0.5,0.2,-0.2,0.0,0.4,-0.3,-0.1,-0.1
2002,0.2,0.2,0.3,0.4,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2
2003,0.4,0.5,0.2,-0.4,-0.2,0.1,0.3,0.4,0.3,-0.1,0.1,0.3
2004,0.4,0.2,0.2,0.2,0.4,0.4,0.1,0.1,0.3,0.5,0.5,0.0
2005,-0.1,0.4,0.4,0.3,-0.1,0.1,0.6,0.6,1.4,0.2,-0.5,0.0
2006,0.6,0.1,0.2,0.5,0.3,0.2,0.5,0.4,-0.5,-0.4,0.0,0.5
2007,0.2,0.4,0.5,0.3,0.4,0.2,0.2,0.0,0.4,0.3,0.8,0.3
2008,0.3,0.2,0.4,0.2,0.6,1.0,0.7,-0.1,0.1,-0.9,-1.8,-0.8
2009,0.3,0.4,-0.1,0.1,0.1,0.8,0.0,0.3,0.2,0.3,0.3,0.1
2010,0.1,-0.1,0.0,0.0,-0.1,0.0,0.2,0.1,0.2,0.3,0.3,0.4
2011,0.3,0.3,0.5,0.5,0.3,0.0,0.3,0.3,0.2,0.1,0.2,0.0
2012,0.3,0.2,0.2,0.2,-0.2,-0.1,0.0,0.6,0.5,0.3,-0.2,0.0
2013,0.2,0.5,-0.3,-0.2,0.0,0.2,0.2,0.2,0.0,0.1,0.2,0.3
2014,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.0,0.0,0.0,-0.2,-0.3
2015,-0.6,0.3,0.3,0.1,0.3,0.3,0.2,0.0,-0.2,0.1,0.1,-0.1
2016,0.0,-0.1,0.3,0.4,0.2,0.3,-0.1,0.2,0.3,0.2,0.1,0.3
2017,0.4,0.2,0.0,0.1,-0.1,0.1,0.0,0.4,0.5,0.1,0.3,0.2
2018,0.4,0.3,0.0,0.3,0.2,0.1,0.1,0.2,0.2,0.2,-0.1,0.1
2019,-0.1,0.3,0.4,0.4,0.0,0.0,0.2,0.1,0.2,0.3,0.3,0.3
2020,0.2,0.0,-0.5,-0.8,-0.1,0.5,0.5,0.4,0.3,0.1,0.2,0.4
2021,0.2,0.3,0.5,0.6,0.7,0.8,0.5,0.3,0.5,1.0,0.9,0.7
2022,0.6,0.7,1.1,0.3,0.9,1.3,0.0,0.1,0.4,0.6,0.3,0.0
2023,0.5,0.3,0.1,0.3,0.2,0.2,0.2,0.5,0.4,0.1,0.1,0.2
2024,0.3,0.4,0.4,0.2,0.0,0.0,0.2,0.2,0.2,0.3,0.3,0.3
2025,0.4,0.2,0.0,0.2,0.1,0.3,0.2,0.3,0.3,,,0.3
2026,0.2,0.3,,,,,,,,,,
